word,annotation
furniture,PROD
home,OBJ
gift,OBJ
chair,PROD
table,PROD
design,FEAT
card,OBJ
wood,MAT
product,PROD
page,O
store,O
bed,PROD
sofa,PROD
room,ROOM
space,O
drawer,PROD
side,O
oak,MAT
collection,O
shop,O
style,O
dimension,O
storage,FEAT
choice,O
platform,PROD
delivery,O
color,FEAT
desk,PROD
quality,O
bedroom,ROOM
frame,PROD
leather,MAT
living,ROOM
someone,PERS
bench,PROD
coffee,PROD
feature,FEAT
hammock,PROD
instruction,O
lamp,PROD
light,O
material,MAT
piece,PROD
range,O
seat,PROD
solution,O
timber,MAT
cushion,PROD
designer,PERS
found,O
hook,PROD
lounge,ROOM
mattress,PROD
metal,MAT
price,FEAT
size,FEAT
bar,PROD
hand,FEAT
leg,FEAT
mirror,PROD
offer,O
wall,FEAT
base,FEAT
cart,O
colour,FEAT
comfort,FEAT
contain,O
house,OBJ
item,O
steel,MAT
fee,O
interior,FEAT
luxury,FEAT
order,O
round,FEAT
sale,O
voucher,O
box,PROD
console,PROD
edge,FEAT
fabric,MAT
focus,O
hosting,FEAT
option,O
payment,O
please,O
stool,PROD
bag,OBJ
day,O
error,O
handmade,FEAT
height,FEAT
office,ROOM
selection,O
sell,O
showroom,ROOM
way,O
year,O
addition,O
arm,FEAT
brand,PROD
coat,OBJ
dining,ROOM
display,O
finish,O
garden,ROOM
glass,MAT
headboard,PROD
plant,O
stand,PROD
stock,O
surface,FEAT
teak,MAT
armchair,PROD
board,PROD
brass,MAT
clothes,O
company,O
experience,O
inch,FEAT
line,FEAT
look,FEAT
panel,PROD
patio,ROOM
place,O
set,PROD
shape,O
specification,O
time,O
today,O
visit,O
walnut,MAT
accessory,PROD
area,ROOM
assembly,O
beach,O
beauty,O
bedside,PROD
center,O
character,O
city,O
copper,MAT
craftsman,PERS
create,O
detail,O
discount,O
element,O
entertainment,ROOM
factory,O
gallery,ROOM
gold,MAT
kitchen,ROOM
linen,MAT
model,PROD
oil,MAT
pay,O
pendant,PROD
seating,FEAT
shelf,PROD
shipping,O
suit,PROD
support,FEAT
tray,PROD
use,O
velvet,MAT
veneer,MAT
vintage,O
week,O
weight,FEAT
air,MAT
amount,O
art,PROD
bamboo,MAT
basket,O
bathroom,ROOM
bean,O
body,FEAT
bookcase,PROD
cabinet,PROD
canada,O
care,O
ceiling,FEAT
century,O
code,O
conversation,O
costa,O
cotton,MAT
country,ROOM
cover,PROD
customer,PERS
depth,FEAT
door,O
elegance,FEAT
floor,FEAT
foam,MAT
form,FEAT
furnishing,PROD
geo,O
ground,O
hallway,ROOM
iron,MAT
king,FEAT
life,O
mahogany,MAT
manufacturer,PERS
maple,MAT
name,FEAT
night,O
outlet,O
planter,PROD
poster,PROD
protection,FEAT
rug,PROD
service,O
sink,PROD
street,O
swivel,PROD
top,O
towel,PROD
variation,O
view,O
wardrobe,PROD
wishbone,PROD
ash,MAT
avenue,O
barn,ROOM
bone,MAT
book,OBJ
buy,O
carpet,PROD
construction,O
corner,FEAT
curtain,PROD
custom,O
deal,O
denim,MAT
description,FEAT
donna,O
durability,FEAT
effect,O
exist,O
functionality,FEAT
grain,MAT
guarantee,O
handle,PROD
head,O
holder,PROD
information,O
inspiration,O
island,ROOM
length,O
magazine,OBJ
marble,MAT
measurement,O
miller,PERS
object,OBJ
outdoors,FEAT
park,ROOM
part,OBJ
partner,PERS
plan,O
plush,MAT
plywood,MAT
pod,PROD
purchase,O
rattan,MAT
reading,O
row,O
sectional,FEAT
ship,O
sideboard,PROD
simplicity,FEAT
something,O
square,PROD
stainless,MAT
timeless,O
tulip,OBJ
vase,PROD
warranty,O
wash,O
wicker,MAT
width,FEAT
work,O
world,O
accent,OBJ
acme,O
anything,OBJ
application,O
appreciation,O
architect,PERS
archive,O
attention,O
beautiful,FEAT
bespoke,O
bin,PROD
bit,O
boston,O
budget,O
bulb,PROD
business,O
canvas,MAT
case,PROD
castor,O
cavity,O
cay,ROOM
chandelier,PROD
check,O
chesterfield,PROD
chocolate,MAT
class,O
clearance,O
coco,O
combination,O
combine,O
configuration,O
cost,O
cottage,ROOM
cox,PERS
craft,O
craftsmanship,O
credenza,PROD
cubby,PROD
cube,PROD
cup,PROD
curve,O
dealer,PERS
decoration,O
difference,O
discover,O
divan,PROD
dolor,O
drama,O
environment,ROOM
everything,O
example,O
executive,O
express,O
fastening,O
fence,ROOM
fire,PROD
florence,ROOM
food,O
foot,O
footstool,PROD
friend,PERS
front,ROOM
function,O
gathering,ROOM
get,O
glen,ROOM
grey,MAT
heart,O
highlight,O
homeowner,PERS
idea,O
image,O
inlay,FEAT
interest,O
ivory,MAT
jack,PERS
joinery,O
key,PROD
kilogram,O
knoll,O
ladder,PROD
laminate,MAT
leaf,O
lifetime,O
love,O
mango,MAT
market,ROOM
massa,ROOM
membership,O
memory,O
mind,O
modern,O
modernist,O
moment,O
money,O
moo,ROOM
movement,O
need,O
nelson,PERS
number,O
one,O
pair,O
paper,O
party,ROOM
pattern,O
people,PERS
pile,O
pinch,O
pine,MAT
pipe,MAT
pleat,O
pony,O
porch,ROOM
post,PROD
powder,MAT
precision,O
program,O
project,O
pull,O
quis,O
quote,O
recliner,PROD
record,PROD
relaxation,O
repeat,O
rest,O
retailer,PROD
ring,PROD
river,ROOM
robe,PROD
rod,PROD
ruffle,PROD
runner,PROD
samson,PROD
school,ROOM
shade,PROD
shopping,PROD
simple,O
slat,PROD
sleep,O
spot,ROOM
stag,PROD
stark,O
studio,ROOM
stylish,O
superb,O
supply,O
swan,PROD
swing,PROD
system,O
technology,O
theater,ROOM
tiger,PROD
tile,PROD
tip,O
tone,O
totem,PROD
type,O
unique,O
vanity,PROD
variety,O
vas,PROD
verbena,PROD
vert,O
waste,O
water,PROD
wool,MAT
word,O
workshop,ROOM
zinc,MAT
zip,PROD
abbreviation,O
abode,ROOM
abstract,O
accident,O
act,O
action,O
adult,PERS
advice,O
affair,O
age,O
ageless,O
alf,PERS
alp,ROOM
aluminium,MAT
amber,MAT
antique,O
appeal,O
apple,PROD
arch,PROD
aria,PROD
artisan,PERS
aspect,O
associate,PERS
assortment,O
auburn,MAT
avail,O
availability,O
avid,PERS
award,O
back,PROD
balance,O
bali,ROOM
ball,PROD
banyan,PROD
barrel,PROD
basic,O
basil,PROD
bastille,ROOM
bath,ROOM
bay,ROOM
bead,PROD
beam,PROD
bear,PROD
beau,PERS
bedding,PROD
beech,MAT
benefit,O
blade,PROD
blanket,PROD
bleach,MAT
blend,O
blender,PROD
blind,PROD
block,PROD
blush,MAT
bottle,PROD
bottom,O
brick,MAT
bring,O
broker,PERS
browse,O
bud,PROD
buffet,PROD
bullet,PROD
bunk,PROD
butterfly,PROD
button,PROD
call,O
candy,PROD
cap,PROD
capsule,PROD
capture,O
carl,PERS
carpenter,PERS
certificate,O
characteristic,O
cherry,PROD
chest,PROD
china,ROOM
chisel,PROD
chunky,O
circle,PROD
cirrus,PROD
clad,O
clay,MAT
clean,O
cleaner,PROD
clever,O
click,O
client,PERS
cloakroom,ROOM
closet,PROD
coast,ROOM
coaster,PROD
cocoon,PROD
coil,PROD
collectible,PROD
collector,PERS
columbine,PROD
comfy,O
complement,O
compliance,O
compliment,O
composition,O
compromise,O
con,O
concrete,MAT
condiment,PROD
confirm,O
connection,O
consultant,PERS
contract,O
contrast,O
convenience,O
convenient,O
cool,O
cord,PROD
cosiness,O
counter,PROD
countryside,ROOM
cozy,O
cranny,PROD
crate,PROD
cream,MAT
creativity,O
creek,ROOM
crop,PROD
cult,O
cum,O
cupboard,PROD
curiosity,O
cut,O
dark,O
decorative,O
demonstration,O
denomination,O
depiction,O
destination,O
detergent,PROD
diamond,PROD
dice,PROD
dime,O
dis,O
dishwasher,PROD
disposal,O
distance,O
drag,O
drape,PROD
dream,O
dresser,PROD
drink,O
drop,O
dunlin,PROD
dura,PROD
duty,O
edit,O
edition,O
efficient,O
elevate,O
ellipse,PROD
embroidery,PROD
employee,PERS
energy,O
engine,PROD
engineering,O
enhance,O
equilibrium,O
expert,PERS
expression,O
eye,PROD
facade,PROD
face,PROD
fading,O
family,ROOM
farrow,PERS
feather,PROD
feel,O
ferri,PROD
